genus,species,sex,source code
Aeshna,canadensis,m,2
Aeshna,canadensis,f,13
Aeshna,canadensis,f,13
Aeshna,canadensis,m,13
Aeshna,clepsydra,f,9
Aeshna,clepsydra,m,9
Aeshna,constricta,m,2
Aeshna,constricta,m,9
Aeshna,constricta,m,12
Aeshna,constricta,f,13
Aeshna,constricta,m,13
Aeshna,eremita,m,12
Aeshna,eremita,m,13
Aeshna,interrupta,f,13
Aeshna,interrupta,f,13
Aeshna,interrupta,m,13
Aeshna,juncea,f,7
Aeshna,juncea,m,7
Aeshna,juncea,f,13
Aeshna,juncea,m,13
Aeshna,juncea,f,13
Aeshna,juncea,m,13
Aeshna,palmata,f,7
Aeshna,palmata,f,13
Aeshna,palmata,f,13
Aeshna,palmata,m,13
Aeshna,septentrionalis,m,13
Aeshna,sitchens,m,13
Aeshna,subarctica,f,7
Aeshna,subarctica,m,13
Aeshna,subarctica,f,13
Aeshna,tuberculifera,m,13
Aeshna,umbrosa,m,2
Aeshna,umbrosa,m,7
Aeshna,umbrosa,f,13
Aeshna,umbrosa,m,13
Aeshna,umbrosa,f,13
Aeshna,umbrosa,f,13
Aeshna,umbrosa,m,13
Aeshna,walkeri,m,13
Anax,amazili,m,2
Anax,junius,m,1
Anax,junius,f,1
Anax,junius,f,3
Anax,junius,m,3
Anax,junius,m,4
Anax,junius,m,6
Anax,junius,f,6
Anax,junius,m,9
Anax,junius,m,10
Anax,junius,f,10
Anax,junius,m,12
Anax,junius,m,13
Anax,junius,m,13
Anax,junius,f,15
Anax,junius,m,15
Anax,longipes,f,1
Anax,longipes,m,1
Anax,longipes,m,9
Anax,longipes,m,10
Anax,walsinghami,m,1
Anax,walsinghami,m,5
Anax,walsinghami,m,8
Anax,walsinghami,m,13
Aphylla,angustifolia,f,10
Aphylla,angustifolia,m,10
Aphylla,protracta,m,2
Aphylla,williamonsi,m,10
Aphylla,williamonsi,f,10
Arigomphus,cornutus,m,13
Arigomphus,cornutus,f,13
Arigomphus,furcifer,f,9
Arigomphus,maxwelli,m,10
Arigomphus,maxwelli,f,10
Arigomphus,submedianus,m,1
Arigomphus,submedianus,f,10
Arigomphus,submedianus,m,10
Basiaeschna,janata,f,1
Basiaeschna,janata,m,1
Basiaeschna,janata,f,3
Basiaeschna,janata,m,3
Basiaeschna,janata,f,6
Basiaeschna,janata,m,6
Basiaeschna,janata,m,10
Basiaeschna,janata,f,10
Boyeria,grafiana,f,5
Boyeria,vinosa,f,5
Boyeria,vinosa,m,10
Boyeria,vinosa,f,10
Brachymesia,furcata,m,1
Brachymesia,furcata,f,10
Brachymesia,furcata,m,10
Brachymesia,gravida,m,1
Brachymesia,gravida,f,1
Brachymesia,gravida,m,3
Brachymesia,gravida,f,3
Brachymesia,gravida,f,6
Brachymesia,gravida,m,6
Brachymesia,gravida,f,10
Brachymesia,gravida,m,10
Brachymesia,gravida,f,15
Brachymesia,gravida,m,15
Brechmorhoga,mendax,m,1
Brechmorhoga,pertinax,m,8
Celithemis,amanda,f,3
Celithemis,amanda,m,3
Celithemis,amanda,m,10
Celithemis,amanda,f,10
Celithemis,amanda,m,10
Celithemis,bertha,m,10
Celithemis,bertha,m,10
Celithemis,elisa,m,1
Celithemis,elisa,f,3
Celithemis,elisa,m,3
Celithemis,elisa,f,10
Celithemis,elisa,m,10
Celithemis,elisa,m,10
Celithemis,elisa,m,10
Celithemis,elisa,m,12
Celithemis,elisa,f,12
Celithemis,eponina,m,1
Celithemis,eponina,f,1
Celithemis,eponina,f,3
Celithemis,eponina,m,3
Celithemis,eponina,f,6
Celithemis,eponina,m,6
Celithemis,eponina,m,9
Celithemis,eponina,f,10
Celithemis,eponina,m,10
Celithemis,eponina,f,12
Celithemis,eponina,m,12
Celithemis,eponina,f,15
Celithemis,eponina,m,15
Celithemis,fasciata,f,1
Celithemis,fasciata,m,1
Celithemis,fasciata,f,3
Celithemis,fasciata,m,3
Celithemis,fasciata,f,6
Celithemis,fasciata,m,6
Celithemis,fasciata,m,10
Celithemis,fasciata,m,10
Celithemis,fasciata,m,10
Celithemis,fasciata,f,10
Celithemis,fasciata,f,10
Celithemis,fasciata,f,10
Celithemis,fasciata,f,15
Celithemis,fasciata,m,15
Celithemis,martha,f,8
Celithemis,martha,m,8
Celithemis,ornata,m,10
Celithemis,ornata,f,10
Celithemis,ornata,f,10
Celithemis,ornata,m,10
Celithemis,verna,m,10
Cordulegaster,bilineata,f,10
Cordulegaster,bilineata,m,10
Cordulegaster,diastatops,m,2
Cordulegaster,dorsalis,m,1
Cordulegaster,dorsalis,f,1
Cordulegaster,dorsalis,m,5
Cordulegaster,dorsalis,m,13
Cordulegaster,maculata,m,1
Cordulegaster,maculata,f,1
Cordulegaster,maculata,f,3
Cordulegaster,maculata,m,3
Cordulegaster,maculata,f,6
Cordulegaster,maculata,m,6
Cordulegaster,maculata,m,10
Cordulegaster,maculata,m,15
Cordulegaster,maculata,f,15
Cordulegaster,obliqua,m,1
Cordulegaster,obliqua,f,1
Cordulegaster,obliqua,m,3
Cordulegaster,obliqua,f,3
Cordulegaster,obliqua,m,6
Cordulegaster,obliqua,f,6
Cordulegaster,obliqua,f,9
Cordulegaster,obliqua,m,10
Cordulegaster,obliqua,f,10
Cordulegaster,obliqua,m,15
Cordulegaster,obliqua,f,15
Cordulia,shurtleffii,m,13
Cordulia,shurtleffii,f,13
Coryphaeschna,adnexa,m,1
Coryphaeschna,adnexa,m,2
Coryphaeschna,ingens,m,10
Crocothemis,servilia,m,5
Didymops,transversa,f,10
Didymops,transversa,m,10
Dorocordulia,libera,m,9
Dromogomphus,armatus,m,10
Dromogomphus,spinosus,m,1
Dromogomphus,spinosus,m,3
Dromogomphus,spinosus,f,3
Dromogomphus,spinosus,m,6
Dromogomphus,spinosus,f,6
Dromogomphus,spinosus,f,10
Dromogomphus,spinosus,m,10
Dromogomphus,spoliatus,m,1
Dromogomphus,spoliatus,f,1
Dromogomphus,spoliatus,m,10
Dromogomphus,spoliatus,f,15
Dromogomphus,spoliatus,m,15
Dythemis,fugax,m,1
Dythemis,fugax,f,1
Dythemis,fugax,m,5
Dythemis,fugax,f,15
Dythemis,fugax,m,15
Dythemis,nigrescens,f,1
Dythemis,nigrescens,m,1
Dythemis,nigrescens,f,4
Dythemis,velox,m,3
Dythemis,velox,f,3
Dythemis,velox,m,6
Dythemis,velox,f,6
Dythemis,velox,m,10
Dythemis,velox,f,10
Dythemis,velox,m,15
Dythemis,velox,f,15
Epiaeschna,heros,f,1
Epiaeschna,heros,m,1
Epiaeschna,heros,f,3
Epiaeschna,heros,m,3
Epiaeschna,heros,f,6
Epiaeschna,heros,m,6
Epiaeschna,heros,m,9
Epiaeschna,heros,f,10
Epiaeschna,heros,m,10
Epiaeschna,heros,m,12
Epiaeschna,heros,f,15
Epiaeschna,heros,m,15
Epitheca,canis,m,13
Epitheca,costalis,m,1
Epitheca,costalis,f,5
Epitheca,costalis,m,5
Epitheca,costalis,m,10
Epitheca,costalis,f,10
Epitheca,costalis,m,10
Epitheca,costalis,m,10
Epitheca,costalis,m,10
Epitheca,costalis,m,10
Epitheca,costalis,m,10
Epitheca,cynosura,m,1
Epitheca,cynosura,f,10
Epitheca,cynosura,f,10
Epitheca,cynosura,m,12
Epitheca,princeps,f,1
Epitheca,princeps,m,1
Epitheca,princeps,f,3
Epitheca,princeps,m,3
Epitheca,princeps,f,6
Epitheca,princeps,m,6
Epitheca,princeps,f,10
Epitheca,princeps,m,10
Epitheca,princeps,f,12
Epitheca,princeps,f,15
Epitheca,princeps,m,15
Epitheca,semiaquea,m,8
Epitheca,sepia,m,5
Epitheca,spinigera,f,13
Epitheca,spinigera,m,13
Epitheca,spinigera,f,13
Erpetogomphus,compositus,m,8
Erpetogomphus,compositus,m,13
Erpetogomphus,compositus,m,16
Erpetogomphus,designatus,m,1
Erpetogomphus,designatus,f,1
Erpetogomphus,designatus,f,3
Erpetogomphus,designatus,m,3
Erpetogomphus,designatus,f,6
Erpetogomphus,designatus,m,6
Erpetogomphus,designatus,m,9
Erpetogomphus,designatus,f,10
Erpetogomphus,designatus,m,10
Erpetogomphus,designatus,f,15
Erpetogomphus,designatus,m,15
Erpetogomphus,eutainia,m,1
Erpetogomphus,eutainia,f,1
Erpetogomphus,eutainia,f,15
Erpetogomphus,eutainia,m,15
Erythemis,collocata,f,1
Erythemis,collocata,m,1
Erythemis,collocata,f,4
Erythemis,collocata,m,4
Erythemis,collocata,f,13
Erythemis,collocata,m,13
Erythemis,collocata,f,13
Erythemis,plebeja,f,2
Erythemis,plebja,f,1
Erythemis,plebja,m,1
Erythemis,plebja,m,2
Erythemis,plebja,m,5
Erythemis,simplicicollis,m,1
Erythemis,simplicicollis,f,1
Erythemis,simplicicollis,f,3
Erythemis,simplicicollis,m,3
Erythemis,simplicicollis,m,6
Erythemis,simplicicollis,f,6
Erythemis,simplicicollis,m,10
Erythemis,simplicicollis,f,10
Erythemis,simplicicollis,m,10
Erythemis,simplicicollis,m,15
Erythemis,simplicicollis,f,15
Erythemis,vesiculosa,m,1
Erythemis,vesiculosa,f,1
Erythemis,vesiculosa,m,10
Erythrodiplax,basifusca,m,5
Erythrodiplax,berenice,m,1
Erythrodiplax,berenice,f,3
Erythrodiplax,berenice,m,3
Erythrodiplax,berenice,m,6
Erythrodiplax,berenice,f,6
Erythrodiplax,berenice,f,10
Erythrodiplax,berenice,m,10
Erythrodiplax,berenice,m,12
Erythrodiplax,funerea,m,8
Erythrodiplax,miniscula,f,10
Erythrodiplax,miniscula,m,10
Erythrodiplax,umbrata,m,5
Erythrodiplax,umbrata,f,6
Erythrodiplax,umbrata,m,6
Erythrodiplax,umbrata,f,10
Erythrodiplax,umbrata,m,10
Gomphaeschna,antilope,m,2
Gomphaeschna,furcillata,m,1
Gomphaeschna,furcillata,f,10
Gomphaeschna,furcillata,m,10
Gomphus,apomyius,m,10
Gomphus,apomyius,f,10
Gomphus,australis,m,10
Gomphus,crassus,m,8
Gomphus,dilatatus,f,10
Gomphus,dilatatus,m,10
Gomphus,exilis,m,10
Gomphus,exilis,f,10
Gomphus,externus,m,1
Gomphus,externus,f,1
Gomphus,externus,m,9
Gomphus,fraternus,f,8
Gomphus,fraternus,m,8
Gomphus,grasilinellus,f,1
Gomphus,grasilinellus,m,1
Gomphus,grasilinellus,m,13
Gomphus,hodgesi,m,10
Gomphus,hodgesi,m,10
Gomphus,hodgesi,f,10
Gomphus,hybridus,m,10
Gomphus,hybridus,f,10
Gomphus,kurilis,f,13
Gomphus,kurilis,m,13
Gomphus,kurilis,m,16
Gomphus,lividus,m,1
Gomphus,lividus,f,1
Gomphus,lividus,f,3
Gomphus,lividus,m,3
Gomphus,lividus,f,6
Gomphus,lividus,m,6
Gomphus,lividus,f,10
Gomphus,lividus,m,10
Gomphus,lynnae,m,13
Gomphus,lynnae,f,13
Gomphus,militaris,m,15
Gomphus,militaris,f,15
Gomphus,oklahomensis,m,1
Gomphus,oklahomensis,f,1
Gomphus,oklahomensis,m,10
Gomphus,oklahomensis,f,10
Gomphus,ozarkensis,m,8
Gomphus,ozarkensis,m,8
Gomphus,spicatus,f,14
Gomphus,spicatus,m,14
Gomphus,vastus,m,9
Gomphus,vastus,m,10
Gomphus,vastus,f,10
Gomphus,ventricosus,m,8
Hagenius,brevistylus,f,1
Hagenius,brevistylus,m,1
Hagenius,brevistylus,f,3
Hagenius,brevistylus,m,3
Hagenius,brevistylus,f,6
Hagenius,brevistylus,m,6
Hagenius,brevistylus,m,10
Hagenius,brevistylus,f,10
Hagenius,brevistylus,f,15
Hagenius,brevistylus,m,15
Helocordulia,selysii,m,1
Helocordulia,selysii,f,10
Helocordulia,selysii,m,10
Ladona,deplanata,f,1
Ladona,deplanata,m,1
Ladona,deplanata,f,3
Ladona,deplanata,m,3
Ladona,deplanata,f,6
Ladona,deplanata,m,6
Ladona,deplanata,m,10
Ladona,deplanata,f,10
Ladona,deplanata,m,10
Ladona,julia,f,11
Ladona,julia,m,13
Ladona,julia,f,13
Ladona,julia,m,13
Lanthus,vernalis,m,2
Leucorrhinia,glacialis,m,13
Leucorrhinia,glacialis,f,13
Leucorrhinia,hudsonica,m,2
Leucorrhinia,hudsonica,m,13
Leucorrhinia,hudsonica,m,13
Leucorrhinia,hudsonica,f,13
Leucorrhinia,hudsonica,f,13
Leucorrhinia,hudsonica,f,13
Leucorrhinia,intacta,f,11
Leucorrhinia,intacta,f,13
Leucorrhinia,intacta,m,13
Leucorrhinia,intacta,f,13
Leucorrhinia,intacta,f,13
Leucorrhinia,intacta,m,13
Leucorrhinia,proxima,m,13
Libellula,auripennis,f,3
Libellula,auripennis,m,3
Libellula,auripennis,f,10
Libellula,auripennis,m,10
Libellula,auripennis,m,10
Libellula,axilena,m,10
Libellula,comanche,f,1
Libellula,comanche,m,1
Libellula,comanche,m,5
Libellula,comanche,f,13
Libellula,comanche,m,13
Libellula,comanche,f,15
Libellula,comanche,m,15
Libellula,composita,f,1
Libellula,composita,m,1
Libellula,composita,m,13
Libellula,composita,f,15
Libellula,composita,m,15
Libellula,croceipennis,f,1
Libellula,croceipennis,m,1
Libellula,croceipennis,m,5
Libellula,croceipennis,f,15
Libellula,croceipennis,m,15
Libellula,cyanea,f,1
Libellula,cyanea,m,10
Libellula,cyanea,m,10
Libellula,cyanea,f,10
Libellula,flavida,m,1
Libellula,flavida,f,1
Libellula,flavida,f,3
Libellula,flavida,m,3
Libellula,flavida,f,6
Libellula,flavida,m,6
Libellula,flavida,f,10
Libellula,flavida,m,10
Libellula,flavida,m,10
Libellula,flavida,f,15
Libellula,flavida,m,15
Libellula,forensis,m,5
Libellula,forensis,m,13
Libellula,forensis,f,13
Libellula,forensis,f,13
Libellula,forensis,m,13
Libellula,forensis,m,13
Libellula,incesta,m,1
Libellula,incesta,f,3
Libellula,incesta,m,3
Libellula,incesta,f,6
Libellula,incesta,m,6
Libellula,incesta,m,10
Libellula,incesta,f,10
Libellula,incesta,m,10
Libellula,incesta,f,10
Libellula,jesseana,m,5
Libellula,luctuosa,f,1
Libellula,luctuosa,m,1
Libellula,luctuosa,f,3
Libellula,luctuosa,m,3
Libellula,luctuosa,f,10
Libellula,luctuosa,m,10
Libellula,luctuosa,f,10
Libellula,luctuosa,m,13
Libellula,luctuosa,f,13
Libellula,luctuosa,f,15
Libellula,luctuosa,m,15
Libellula,needhami,f,1
Libellula,needhami,m,1
Libellula,needhami,f,3
Libellula,needhami,m,3
Libellula,needhami,f,6
Libellula,needhami,m,6
Libellula,needhami,m,10
Libellula,needhami,f,10
Libellula,needhami,m,10
Libellula,nodisticta,f,13
Libellula,nodisticta,m,13
Libellula,pulchella,f,1
Libellula,pulchella,m,1
Libellula,pulchella,f,3
Libellula,pulchella,m,3
Libellula,pulchella,f,6
Libellula,pulchella,m,6
Libellula,pulchella,f,10
Libellula,pulchella,m,11
Libellula,pulchella,m,12
Libellula,pulchella,m,12
Libellula,pulchella,m,13
Libellula,pulchella,f,13
Libellula,pulchella,m,13
Libellula,pulchella,m,13
Libellula,pulchella,f,15
Libellula,pulchella,m,15
Libellula,quadrimaculata,m,2
Libellula,quadrimaculata,f,9
Libellula,quadrimaculata,f,12
Libellula,quadrimaculata,m,12
Libellula,quadrimaculata,m,13
Libellula,quadrimaculata,f,13
Libellula,quadrimaculata,m,13
Libellula,saturata,m,1
Libellula,saturata,f,1
Libellula,saturata,f,15
Libellula,saturata,m,15
Libellula,semifasciata,f,3
Libellula,semifasciata,m,3
Libellula,semifasciata,f,6
Libellula,semifasciata,m,6
Libellula,semifasciata,m,10
Libellula,semifasciata,f,10
Libellula,semifasciata,m,12
Libellula,vibrans,m,1
Libellula,vibrans,f,1
Libellula,vibrans,m,3
Libellula,vibrans,f,3
Libellula,vibrans,m,6
Libellula,vibrans,f,6
Libellula,vibrans,f,10
Libellula,vibrans,m,10
Libellula,vibrans,m,15
Libellula,vibrans,f,15
Macrodiplax,balteata,f,1
Macrodiplax,balteata,m,1
Macrodiplax,balteata,f,10
Macrodiplax,balteata,m,10
Macromia,annulata,m,1
Macromia,illinoiensis,f,1
Macromia,illinoiensis,m,1
Macromia,illinoiensis,f,3
Macromia,illinoiensis,m,3
Macromia,illinoiensis,f,6
Macromia,illinoiensis,m,6
Macromia,illinoiensis,m,10
Macromia,illinoiensis,f,10
Macromia,illinoiensis,f,15
Macromia,illinoiensis,m,15
Macromia,magnifica,m,13
Macromia,taeniolata,m,3
Macromia,taeniolata,f,3
Macromia,taeniolata,m,6
Macromia,taeniolata,f,6
Macromia,taeniolata,m,9
Macromia,taeniolata,m,10
Miathyria,marcella,m,1
Miathyria,marcella,f,2
Miathyria,marcella,f,10
Miathyria,marcella,m,10
Micrathyria,aequalis,m,1
Micrathyria,aequalis,m,5
Micrathyria,hagenii,m,1
Nannothemis,bella,f,9
Nannothemis,bella,m,9
