binom,adult.elong,larval.elong,adult.size,larval.size,adult.elong.sd,adult.size.sd,larval.elong.sd,larval.size.sd,adult.elong.n
Aeshna_canadensis,1.896051035,1.808066977,68.5,37.75,0.199310869,2.25,0.026270148,1.625,4
Aeshna_constricta,1.873851292,1.792854642,69,37.5,0.079420332,2,0.028252192,0.75,5
Aeshna_interrupta,1.845176082,1.764026758,66.5,38.75,0.024724669,2.75,0.034103011,1.375,3
Aeshna_juncea,1.799347347,1.826912813,65,38.25,0.025955052,2,0.023847618,1.375,6
Aeshna_subarctica,1.88749963,1.874787611,65.5,39.7,0.06787993,1.25,0.034625487,1.85,3
Aeshna_umbrosa,1.840494454,1.836463278,68.5,38.5,0.101230147,2.25,0.027860132,1.75,7
Anax_junius,1.799690871,1.715485409,73,43.35,0.086813574,2.5,0.056674147,3.425,15
Anax_longipes,1.77281307,1.665489916,81,54.665,0.108004448,3,0.020919035,2.3325,4
Boyeria_vinosa,1.765519662,1.824173944,65.5,34.35,0.093333212,2.25,0.029139546,1.575,3
Brachymesia_gravida,1.8442187,1.621883123,52,23.75,0.063049093,1,0.046346162,0.625,10
Celithemis_elisa,1.774575288,1.672300337,31.5,15.25,0.113903801,1.25,0.053648394,0.875,9
Celithemis_eponina,1.962621354,1.517992165,39,18.15,0.164824295,0.75,0.03130874,0.575,13
Cordulegaster_bilineata,1.736846346,1.716354849,61.5,31.4,0.054130629,2.25,0.044330112,1.95,2
Cordulegaster_dorsalis,1.878196854,1.703715747,77.5,36.8,0.100503628,0.5,0.052660578,3.1,4
Cordulegaster_maculata,1.848834516,1.687052858,70,36.25,0.04121127,1,0.048910773,2.375,9
Cordulegaster_obliqua,1.959924739,1.658484985,76.5,38.6,0.138883521,1.25,0.079018443,4.6,11
Cordulia_shurtleffii,1.720113456,1.468533504,46.5,21,0.016900121,1.5,0.03877036,1.3,2
Didymops_transversa,1.85269722,1.33150496,58,24.8,0.027538851,0.75,0.034919765,0.95,2
Dromogomphus_spinosus,2.205011521,1.658329371,60.5,31.45,0.179687925,0.75,0.033150749,1.925,7
Dythemis_fugax,1.938983097,1.535919863,47,17.1,0.075903706,2,0.02243536,0.7,5
